time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-04 00:00:00+00:00,16,5,323,97
2024-10-05 00:00:00+00:00,3,2,72,38
2024-10-06 00:00:00+00:00,2,2,107,41
2024-10-07 00:00:00+00:00,5,4,294,113
2024-10-08 00:00:00+00:00,5,4,389,131
2024-10-09 00:00:00+00:00,13,1,396,127
2024-10-10 00:00:00+00:00,9,5,462,139
2024-10-11 00:00:00+00:00,2,2,282,116
2024-10-12 00:00:00+00:00,1,1,120,38
2024-10-13 00:00:00+00:00,2,1,94,30
2024-10-14 00:00:00+00:00,2,2,289,96
2024-10-15 00:00:00+00:00,6,3,318,124
2024-10-16 00:00:00+00:00,5,4,255,97
2024-10-17 00:00:00+00:00,10,4,420,115
