referrer,views_total,views_unique
systemsomicslab.github.io,1751,586
Google,122,40
github.com,25,12
Bing,22,10
cn.bing.com,7,6
chatgpt.com,5,1
DuckDuckGo,4,1
prime.psc.riken.jp,2,2
doubao.com,2,1
search.brave.com,2,1
