time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-14 00:00:00+00:00,2,2,295,117
2025-08-15 00:00:00+00:00,1,1,193,74
2025-08-16 00:00:00+00:00,8,4,109,45
2025-08-17 00:00:00+00:00,6,6,75,43
2025-08-18 00:00:00+00:00,9,9,475,118
2025-08-19 00:00:00+00:00,6,6,147,75
2025-08-20 00:00:00+00:00,34,20,92,54
2025-08-21 00:00:00+00:00,11,8,476,156
2025-08-22 00:00:00+00:00,12,10,334,125
2025-08-23 00:00:00+00:00,4,4,273,50
2025-08-24 00:00:00+00:00,2,2,218,54
2025-08-25 00:00:00+00:00,20,10,449,159
2025-08-26 00:00:00+00:00,34,13,454,175
2025-08-27 00:00:00+00:00,22,9,390,127
