time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-29 00:00:00+00:00,1,1,499,116
2024-08-30 00:00:00+00:00,14,3,302,104
2024-08-31 00:00:00+00:00,1,1,117,33
2024-09-01 00:00:00+00:00,3,3,184,37
2024-09-02 00:00:00+00:00,35,9,180,69
2024-09-03 00:00:00+00:00,3,2,601,94
2024-09-04 00:00:00+00:00,7,5,447,124
2024-09-05 00:00:00+00:00,3,2,351,95
2024-09-06 00:00:00+00:00,16,5,432,106
2024-09-07 00:00:00+00:00,1,1,139,30
2024-09-08 00:00:00+00:00,12,2,313,30
2024-09-09 00:00:00+00:00,4,1,532,108
2024-09-10 00:00:00+00:00,5,4,362,108
2024-09-11 00:00:00+00:00,1,1,504,126
