referrer,views_total,views_unique
systemsomicslab.github.io,1707,612
Google,188,58
Bing,112,35
Baidu,32,1
github.com,22,8
chatgpt.com,18,6
nature.com,18,1
DuckDuckGo,10,2
pennstate.service-now.com,9,2
linkedin.com,9,1
