time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-27 00:00:00+00:00,,,165,70
2024-12-28 00:00:00+00:00,4.0,4.0,133,39
2024-12-29 00:00:00+00:00,2.0,1.0,100,37
2024-12-30 00:00:00+00:00,2.0,2.0,173,62
2024-12-31 00:00:00+00:00,2.0,1.0,163,40
2025-01-01 00:00:00+00:00,1.0,1.0,142,29
2025-01-02 00:00:00+00:00,1.0,1.0,224,86
2025-01-03 00:00:00+00:00,3.0,3.0,171,61
2025-01-04 00:00:00+00:00,1.0,1.0,154,51
2025-01-05 00:00:00+00:00,1.0,1.0,88,34
2025-01-06 00:00:00+00:00,14.0,6.0,317,120
2025-01-07 00:00:00+00:00,5.0,5.0,366,129
2025-01-08 00:00:00+00:00,4.0,3.0,263,96
2025-01-09 00:00:00+00:00,2.0,1.0,272,104
