referrer,views_total,views_unique
systemsomicslab.github.io,1265,424
Google,235,42
github.com,74,13
cn.bing.com,31,10
Bing,14,7
global.bing.com,13,1
nature.com,11,4
v.hbu.cn,7,3
prime.psc.riken.jp,3,3
chatgpt.com,3,1
