time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-02 00:00:00+00:00,107,50,582,138
2026-04-03 00:00:00+00:00,108,46,199,104
2026-04-04 00:00:00+00:00,121,52,145,69
2026-04-05 00:00:00+00:00,106,40,94,49
2026-04-06 00:00:00+00:00,95,36,230,96
2026-04-07 00:00:00+00:00,101,43,370,174
2026-04-08 00:00:00+00:00,98,43,312,147
2026-04-09 00:00:00+00:00,103,41,314,166
2026-04-10 00:00:00+00:00,235,88,264,132
2026-04-11 00:00:00+00:00,276,95,95,48
2026-04-12 00:00:00+00:00,126,55,114,60
2026-04-13 00:00:00+00:00,190,67,399,162
2026-04-14 00:00:00+00:00,89,35,470,195
2026-04-15 00:00:00+00:00,105,45,425,192
