referrer,views_total,views_unique
systemsomicslab.github.io,1731,697
Google,178,58
Bing,140,63
github.com,72,22
statics.teams.cdn.office.net,28,7
gpt.chesspnt.com,18,2
copilot.microsoft.com,6,2
nature.com,5,4
helpdesk.igbmc.u-strasbg.fr,4,1
Baidu,3,3
