referrer,views_total,views_unique
systemsomicslab.github.io,1805,668
Bing,167,63
cn.bing.com,145,69
Google,139,53
github.com,83,25
chatgpt.com,14,8
nature.com,12,5
prime.psc.riken.jp,11,6
DuckDuckGo,5,2
ecosia.org,4,3
