referrer,views_total,views_unique
systemsomicslab.github.io,1442,578
Bing,201,77
cn.bing.com,142,59
Google,122,67
github.com,49,12
DuckDuckGo,12,4
chatgpt.com,7,5
nature.com,6,3
zenodo.org,4,3
prime.psc.riken.jp,2,2
