referrer,views_total,views_unique
systemsomicslab.github.io,1807,622
github.com,329,13
Google,304,90
Bing,213,73
cn.bing.com,110,55
yandex.ru,34,3
DuckDuckGo,16,7
oods.univie.ac.at,10,2
copilot.microsoft.com,7,1
statics.teams.cdn.office.net,4,2
