referrer,views_total,views_unique
systemsomicslab.github.io,1989,878
Google,198,96
Bing,125,44
github.com,97,34
search.brave.com,16,2
DuckDuckGo,10,5
chatgpt.com,8,6
nature.com,6,3
Baidu,5,3
zenodo.org,4,4
