referrer,views_total,views_unique
systemsomicslab.github.io,1629,598
Bing,294,90
Google,174,53
cn.bing.com,124,51
github.com,83,21
nature.com,23,4
DuckDuckGo,22,5
chatgpt.com,21,8
cl.search.yahoo.com,20,2
Yahoo,9,4
