time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-30 00:00:00+00:00,,,400,103
2024-07-31 00:00:00+00:00,4.0,4.0,415,103
2024-08-01 00:00:00+00:00,16.0,5.0,426,114
2024-08-02 00:00:00+00:00,3.0,2.0,804,68
2024-08-03 00:00:00+00:00,,,91,21
2024-08-04 00:00:00+00:00,1.0,1.0,139,26
2024-08-05 00:00:00+00:00,17.0,5.0,170,72
2024-08-06 00:00:00+00:00,3.0,2.0,343,94
2024-08-07 00:00:00+00:00,2.0,1.0,435,92
2024-08-08 00:00:00+00:00,3.0,2.0,382,73
2024-08-09 00:00:00+00:00,1.0,1.0,425,107
2024-08-10 00:00:00+00:00,2.0,2.0,283,33
2024-08-11 00:00:00+00:00,2.0,1.0,167,27
2024-08-12 00:00:00+00:00,3.0,3.0,524,96
