time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-26 00:00:00+00:00,100,36,120,54
2026-07-27 00:00:00+00:00,122,57,273,130
2026-07-28 00:00:00+00:00,96,47,294,144
2026-07-29 00:00:00+00:00,194,66,312,141
2026-07-30 00:00:00+00:00,161,48,306,126
2026-07-31 00:00:00+00:00,80,35,212,108
2026-08-01 00:00:00+00:00,178,51,88,46
2026-08-02 00:00:00+00:00,127,61,89,42
2026-08-03 00:00:00+00:00,204,56,280,121
2026-08-04 00:00:00+00:00,135,55,326,140
2026-08-05 00:00:00+00:00,137,58,415,151
2026-08-06 00:00:00+00:00,361,66,334,117
2026-08-07 00:00:00+00:00,136,49,261,106
2026-08-08 00:00:00+00:00,113,46,75,38
