time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-20 00:00:00+00:00,2,2,322,126
2025-03-21 00:00:00+00:00,9,5,274,104
2025-03-22 00:00:00+00:00,7,4,107,44
2025-03-23 00:00:00+00:00,2,2,138,47
2025-03-24 00:00:00+00:00,3,3,338,125
2025-03-25 00:00:00+00:00,6,4,269,115
2025-03-26 00:00:00+00:00,6,4,336,99
2025-03-27 00:00:00+00:00,44,8,362,116
2025-03-28 00:00:00+00:00,8,5,257,109
2025-03-29 00:00:00+00:00,8,5,85,37
2025-03-30 00:00:00+00:00,10,6,135,43
2025-03-31 00:00:00+00:00,5,4,254,111
2025-04-01 00:00:00+00:00,50,8,355,116
2025-04-02 00:00:00+00:00,10,8,261,105
