referrer,views_total,views_unique
systemsomicslab.github.io,1863,639
Google,204,61
Bing,74,17
github.com,62,11
trello.com,18,1
chatgpt.com,14,4
nature.com,9,2
cn.bing.com,4,2
DuckDuckGo,3,2
qwant.com,3,2
