referrer,views_total,views_unique
prime.psc.riken.jp,1505,503
Google,46,15
github.com,21,9
cn.bing.com,17,6
chat.openai.com,6,4
Bing,6,4
t.co,1,1
mzmine-ms-dial-gsoc.github.io,1,1
DuckDuckGo,1,1
systemsomicslab.github.io,1,1
