referrer,views_total,views_unique
systemsomicslab.github.io,1479,518
Bing,171,73
Google,132,54
cn.bing.com,81,48
github.com,67,14
nature.com,31,6
DuckDuckGo,13,3
ecosia.org,13,1
chatgpt.com,11,6
com.google.android.gm,9,2
