referrer,views_total,views_unique
systemsomicslab.github.io,1633,679
Google,177,55
Bing,129,58
github.com,67,21
statics.teams.cdn.office.net,25,6
gpt.chesspnt.com,18,2
copilot.microsoft.com,6,2
helpdesk.igbmc.u-strasbg.fr,4,1
Baidu,3,3
prime.psc.riken.jp,3,2
