referrer,views_total,views_unique
systemsomicslab.github.io,2040,705
Google,237,65
Bing,187,81
github.com,130,29
cn.bing.com,122,52
DuckDuckGo,11,7
chatgpt.com,7,4
nature.com,6,3
zenodo.org,5,5
prime.psc.riken.jp,4,3
