referrer,views_total,views_unique
systemsomicslab.github.io,1558,583
Bing,217,88
Google,157,51
cn.bing.com,92,45
github.com,75,15
nature.com,30,7
chatgpt.com,20,6
DuckDuckGo,20,4
cl.search.yahoo.com,16,1
ecosia.org,12,1
