time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-04 00:00:00+00:00,6,6,426,159
2025-06-05 00:00:00+00:00,5,3,331,143
2025-06-06 00:00:00+00:00,41,8,360,116
2025-06-07 00:00:00+00:00,10,5,58,36
2025-06-08 00:00:00+00:00,6,3,137,53
2025-06-09 00:00:00+00:00,2,2,333,123
2025-06-10 00:00:00+00:00,8,4,309,115
2025-06-11 00:00:00+00:00,30,11,560,176
2025-06-12 00:00:00+00:00,18,9,422,176
2025-06-13 00:00:00+00:00,47,11,286,114
2025-06-14 00:00:00+00:00,15,5,119,40
2025-06-15 00:00:00+00:00,8,7,121,33
2025-06-16 00:00:00+00:00,71,16,434,140
2025-06-17 00:00:00+00:00,24,7,564,160
