referrer,views_total,views_unique
systemsomicslab.github.io,1958,540
Google,155,33
github.com,139,13
cn.bing.com,16,6
Bing,13,5
prime.psc.riken.jp,10,5
mail.google.com,9,1
zenodo.org,5,3
lms.uwa.edu.au,3,3
copilot.microsoft.com,2,2
