referrer,views_total,views_unique
systemsomicslab.github.io,1866,621
Google,90,35
github.com,29,10
Bing,22,10
chatgpt.com,8,2
cn.bing.com,7,6
DuckDuckGo,4,1
prime.psc.riken.jp,3,3
search.brave.com,2,1
doubao.com,2,1
