referrer,views_total,views_unique
systemsomicslab.github.io,1801,665
Google,228,82
github.com,154,32
Bing,76,29
chatgpt.com,57,25
DuckDuckGo,17,2
perplexity.ai,12,2
zenodo.org,5,4
nature.com,5,3
Baidu,4,3
