referrer,views_total,views_unique
systemsomicslab.github.io,2139,472
prime.psc.riken.jp,692,240
Google,84,29
github.com,41,13
Bing,25,14
cn.bing.com,19,9
grpmail.jp,3,2
DuckDuckGo,3,2
shin.massbank.jp,2,1
br.nate.com,1,1
