time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-01 00:00:00+00:00,107,44,164,75
2026-05-02 00:00:00+00:00,130,47,111,43
2026-05-03 00:00:00+00:00,132,54,85,42
2026-05-04 00:00:00+00:00,106,40,182,79
2026-05-05 00:00:00+00:00,127,48,287,99
2026-05-06 00:00:00+00:00,111,47,211,111
2026-05-07 00:00:00+00:00,116,60,352,181
2026-05-08 00:00:00+00:00,121,52,353,156
2026-05-09 00:00:00+00:00,128,58,182,75
2026-05-10 00:00:00+00:00,131,58,125,48
2026-05-11 00:00:00+00:00,118,58,261,106
2026-05-12 00:00:00+00:00,105,51,272,115
2026-05-13 00:00:00+00:00,123,52,371,129
2026-05-14 00:00:00+00:00,131,60,269,130
