referrer,views_total,views_unique
systemsomicslab.github.io,1867,711
Google,222,54
github.com,41,17
Bing,21,8
cn.bing.com,14,7
chatgpt.com,13,6
statics.teams.cdn.office.net,5,2
nature.com,4,3
github-com.translate.goog,4,1
zenodo.org,3,2
