referrer,views_total,views_unique
systemsomicslab.github.io,3614,701
Google,100,31
prime.psc.riken.jp,54,26
github.com,27,13
cn.bing.com,24,11
Bing,22,10
grpmail.jp,3,2
DuckDuckGo,3,2
mail.google.com,2,2
shin.massbank.jp,2,1
