time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-26 00:00:00+00:00,22,9,269,125
2025-06-27 00:00:00+00:00,10,10,355,137
2025-06-28 00:00:00+00:00,3,3,97,49
2025-06-29 00:00:00+00:00,7,7,111,46
2025-06-30 00:00:00+00:00,5,5,385,150
2025-07-01 00:00:00+00:00,8,8,257,114
2025-07-02 00:00:00+00:00,7,6,339,149
2025-07-03 00:00:00+00:00,17,14,363,131
2025-07-04 00:00:00+00:00,10,10,385,135
2025-07-05 00:00:00+00:00,4,4,138,44
2025-07-06 00:00:00+00:00,7,7,117,40
2025-07-07 00:00:00+00:00,9,9,547,158
2025-07-08 00:00:00+00:00,27,13,392,131
2025-07-09 00:00:00+00:00,16,10,380,127
