referrer,views_total,views_unique
systemsomicslab.github.io,1875,776
Google,192,65
Bing,63,26
github.com,59,24
chatgpt.com,18,11
enauczanie.pg.edu.pl,7,5
statics.teams.cdn.office.net,6,2
Yahoo,6,1
doubao.com,5,1
learn.inha.ac.kr,4,3
