referrer,views_total,views_unique
systemsomicslab.github.io,1525,604
Bing,164,56
Google,126,42
nature.com,81,4
github.com,57,17
gpt.chesspnt.com,18,2
zenodo.org,14,4
mzmine-ms-dial-gsoc.github.io,8,1
statics.teams.cdn.office.net,4,3
l.facebook.com,2,1
