referrer,views_total,views_unique
systemsomicslab.github.io,1739,603
Google,100,29
github.com,23,12
Bing,12,6
cn.bing.com,6,6
prime.psc.riken.jp,4,3
systemsomicslab-github-io.translate.goog,4,1
chatgpt.com,3,1
search.brave.com,2,1
yandex.ru,1,1
