time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-18 00:00:00+00:00,12,5,446,129
2024-06-19 00:00:00+00:00,16,10,640,139
2024-06-20 00:00:00+00:00,15,7,552,124
2024-06-21 00:00:00+00:00,8,5,474,109
2024-06-22 00:00:00+00:00,3,2,176,31
2024-06-23 00:00:00+00:00,3,2,180,31
2024-06-24 00:00:00+00:00,3,3,686,151
2024-06-25 00:00:00+00:00,6,3,687,136
2024-06-26 00:00:00+00:00,2,2,537,127
2024-06-27 00:00:00+00:00,2,2,371,102
2024-06-28 00:00:00+00:00,3,2,395,114
2024-06-29 00:00:00+00:00,1,1,107,26
2024-06-30 00:00:00+00:00,5,3,240,37
2024-07-01 00:00:00+00:00,1,1,432,107
