referrer,views_total,views_unique
systemsomicslab.github.io,2870,597
Google,109,27
github.com,37,18
prime.psc.riken.jp,28,14
zenodo.org,16,4
Bing,10,5
cn.bing.com,6,3
DuckDuckGo,1,1
statics.teams.cdn.office.net,1,1
