referrer,views_total,views_unique
systemsomicslab.github.io,2309,721
Google,201,75
github.com,120,28
Bing,29,11
zenodo.org,23,7
sogou.com,16,1
mail.yahoo.co.jp,12,4
mail.google.com,7,5
chatgpt.com,6,5
prime.psc.riken.jp,4,3
