referrer,views_total,views_unique
systemsomicslab.github.io,1691,659
Google,166,45
github.com,98,23
Bing,43,24
cn.bing.com,28,13
prime.psc.riken.jp,7,4
zenodo.org,6,5
DuckDuckGo,5,3
chatgpt.com,5,2
ist.cinj.rutgers.edu,1,1
