referrer,views_total,views_unique
systemsomicslab.github.io,2156,864
Google,238,102
github.com,148,33
Bing,102,54
nature.com,7,4
chatgpt.com,5,5
search.brave.com,5,3
perplexity.ai,5,2
zenodo.org,3,3
yandex.ru,3,2
