referrer,views_total,views_unique
systemsomicslab.github.io,1454,563
Bing,153,51
Google,150,41
nature.com,81,4
github.com,46,10
gpt.chesspnt.com,18,2
zenodo.org,15,5
mzmine-ms-dial-gsoc.github.io,8,1
statics.teams.cdn.office.net,4,3
Yahoo,2,2
