referrer,views_total,views_unique
systemsomicslab.github.io,1775,575
Google,153,50
github.com,123,16
Bing,43,11
biorxiv.org,34,1
prime.psc.riken.jp,19,5
cn.bing.com,17,7
nature.com,15,7
zenodo.org,11,4
mail.google.com,3,1
