referrer,views_total,views_unique
systemsomicslab.github.io,1086,248
prime.psc.riken.jp,1021,361
Google,81,29
github.com,36,11
Bing,24,12
cn.bing.com,9,6
grpmail.jp,3,2
DuckDuckGo,2,2
zenodo.org,1,1
biorxiv.org,1,1
