time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-13 00:00:00+00:00,1,1,89,50
2025-09-14 00:00:00+00:00,2,2,47,28
2025-09-15 00:00:00+00:00,10,8,327,130
2025-09-16 00:00:00+00:00,15,6,301,121
2025-09-17 00:00:00+00:00,16,13,377,131
2025-09-18 00:00:00+00:00,4,4,344,140
2025-09-19 00:00:00+00:00,10,8,427,106
2025-09-20 00:00:00+00:00,8,6,96,38
2025-09-21 00:00:00+00:00,10,10,86,39
2025-09-22 00:00:00+00:00,24,14,307,111
2025-09-23 00:00:00+00:00,29,17,331,130
2025-09-24 00:00:00+00:00,3,3,333,130
2025-09-25 00:00:00+00:00,10,6,308,135
2025-09-26 00:00:00+00:00,4,2,367,122
